Fb,Original Material Name,MTC Item Name (ODOO),Keterangan,Penggunaan/bulan,Kontrak 3 bulan,Tanggal List,Qty,Product Category,Reason,URGENCY,Link Refferences,Vendor,Harga (diisi oleh procurement),Nomor PR,Status PR,,Status PA,Status PO,No PO,PO Approved ,ETA Foom,Link GR,,,,,,
45,Tekiro Kunci L Set Torx 9  / Kunci L Bintang Set Tanpa Lubang,Tekiro Kunci L Bintang,,,,20/09/25,1,Tools,Tools Maintenance,,https://tk.tokopedia.com/ZSD5ey7ec/,,"232,200",PR02636,CONTINUE,TE02665,DONE,DONE,P10948,,,https://foomx.odoo.com/web#id=4531&cids=1&model=good.received&view_type=form&menu_id=822,TRUE,10/11/2025,,,,
46,E32 DC200 Cable Kabel Omron Fiber Sensor E32-DC200 / E32DC200,Fiber Optic Omron,,,,20/09/25,10,Sparepart,"spare part mesin filling, capping, stiker (repeat order)",,https://tk.tokopedia.com/ZSDpfmUgw/,,"93,575",PR02515,CONTINUE,TE02509,DONE,DONE,P10580,,,https://foomx.odoo.com/web#id=4088&cids=1&menu_id=822&active_id=10582&model=good.received&view_type=form,TRUE,17/10/2025,,,,
47,lampu highbay 100w 150w 200 smd gantung pabrik gudang industry hanging - HIGHBAY 100W,Lampu Highbay 100W,,,,22/09/25,7,Sparepart,Untuk kebutuhan maintenance (Utility) pemasangan WH,,https://tk.tokopedia.com/ZSDuTDd3Q/,,"230,880",PR02561,CONTINUE,TE02528,DONE,DONE,P10628,,,https://foomx.odoo.com/web#id=4137&cids=1&menu_id=822&active_id=10630&model=good.received&view_type=form,TRUE,11/10/2025,,,,
48,Batu Gerinda Potong WD 14 inch / Cutting Wheel WD 14 inch,,,,,22/09/25,2,#N/A,Untuk kebutuhan maintenance,,https://tk.tokopedia.com/ZSDuo1nsY/,,"52,650",PR02636,CONTINUE,TE02665,DONE,DONE,P10948,,,https://foomx.odoo.com/web#id=4532&cids=1&menu_id=822&active_id=10950&model=good.received&view_type=form,TRUE,07/11/2025,-1,,,
49,Roda 2 inchi PU (Mati/Hidup/Rem/Screw/WO)heavy duty + double bearing kastor caster troli - Screw hidup+mur,Roda 2 inchi PU - Screw hidup ,,,,22/09/25,12,Sparepart,Untuk penggantian roda turn table,URGENT,https://tk.tokopedia.com/ZSDH8jR1b/,,"23,625",PR02638,CONTINUE,TE02643,DONE,DONE,P10859,,,https://foomx.odoo.com/web#id=4279&cids=1&menu_id=822&active_id=10861&model=good.received&view_type=form,TRUE,03/11/2025,,,,
50,Roda 2 inchi PU (Mati/Hidup/Rem/Screw/WO)heavy duty + double bearing kastor caster troli - Wheel only,Roda 2 inchi PU,,,,22/09/25,12,Sparepart,Untuk sparepart penggantian roda,URGENT,https://tk.tokopedia.com/ZSDH8MErJ/,,"23,635",PR02638,CONTINUE,TE02643,DONE,DONE,P10859,, ,https://foomx.odoo.com/web#id=4279&cids=1&menu_id=822&active_id=10861&model=good.received&view_type=form,TRUE,03/11/2025,,,,
51,"Kabel Tis Nylon Cable Ties High Quality 15cm 20cm 25cm 30cm 40cm - Putih - 2.5x100, Hitam",Cable Tie 2.5x100,,,,22/09/25,5,Sparepart,stock. penggunaan : consumable,,https://tk.tokopedia.com/ZSDCDtpuB/,,"4,709",PR02486,BIDDING,,DONE,ONGOING,,,,https://foomx.odoo.com/web#id=4053&cids=1&menu_id=822&active_id=10524&model=good.received&view_type=form,TRUE,06/10/2025,,,,
52,"Kabel Tis Nylon Cable Ties High Quality 15cm 20cm 25cm 30cm 40cm - Putih - 2.5x150, Hitam",Cable Tie 2.5x150,,,,22/09/25,5,Sparepart,stock. penggunaan : consumable,,https://tk.tokopedia.com/ZSDCDmrD4/,,"5,837",PR02486,BIDDING,,DONE,ONGOING,,,,https://foomx.odoo.com/web#id=4053&cids=1&menu_id=822&active_id=10524&model=good.received&view_type=form,TRUE,06/10/2025,,,,
53,"Kabel Tis Nylon Cable Ties High Quality 15cm 20cm 25cm 30cm 40cm - Putih - 3.6x300, Hitam",Cable Tie 3.6x300,,,,22/09/25,5,Sparepart,stock. penggunaan : consumable,,https://tk.tokopedia.com/ZSDCDsPge/,,"15,200",PR02486,BIDDING,,DONE,ONGOING,,,,https://foomx.odoo.com/web#id=4053&cids=1&menu_id=822&active_id=10524&model=good.received&view_type=form,TRUE,06/10/2025,,,,
54,"Kabel Tis Nylon Cable Ties High Quality 15cm 20cm 25cm 30cm 40cm - Putih - 4.6x400, Hitam",CableTie 4.6 X 400 ,,,,22/09/25,5,Sparepart,stock. penggunaan : consumable,,https://tk.tokopedia.com/ZSDCDcEqr/,,"25,918",PR02486,BIDDING,,DONE,ONGOING,,,,https://foomx.odoo.com/web#id=4053&cids=1&menu_id=822&active_id=10524&model=good.received&view_type=form,TRUE,06/10/2025,,,,
